"Borough, Block, Lot #",Street Address,Postcode,Borough,Utility,Building Manager,Owner,Owner Address,Owner Telephone,DEP Boiler Application #,#6 Deadline,Boiler Model,# of Identical Boilers,Boiler Capacity (Gross  BTU),Boiler Installation Date,Boiler Age Range,Est. Retirement Year,Burner Model,Primary Fuel,Total Gallons (High),Total Gallons (Low),Total MMBTU (High),Total MMBTU (low),Greener Greater Buildings,GGB Deadline,Building Type,Council District,Community Board,Bldg Sqft,# of Bldgs,# of Floors,# of Res. Units,Total Units,Year Built,Condo?,Coop?,Latitude,Longitude,Census Tract,BIN,BBL,NTA
1008040067,146 WEST 29 STREET,10001,Manhattan,Con Edison,BERIK MANAGEMENT,BERIK MANAGEMENT,"381 PARK AVE. SOUTH, MANHATTAN NY 10016",212-679-8222,CA313185J,0,FEDERAL FST 175,1,7,1985,21 to 26 years old,2020,HEV-E DEG 84 P,#4,65700,45990,6898.5,9855,1,2014,Loft Buildings,3,M 05,"* 82,454",1,12,0,1,1910,,,40.747225,-73.991432,95,1015131,1008040067,Midtown-Midtown South
1008050017,143 WEST 29 STREET,10001,Manhattan,Con Edison,BERIK MANAGEMENT,BERIK MGMT CORP.,"381 PARK AVENUE SOUTH, MANHATTAN NY 10016",212 679-8222,CA334894P,0,FEDERAL FST-60,1,2.59,1994,16 to 20 years old,2029,INDUSTRIAL COMB. MMG-28,#4,13875,9713,1408.3125,2011.88,1,2015,Loft Buildings,3,M 05,"* 58,292",1,12,0,42,1912,,,40.747206,-73.991342,95,1015141,1008050017,Midtown-Midtown South
1008050019,135 WEST 29 STREET,10001,Manhattan,Con Edison,MFM PROPERTIES LLC.,MFM PROPERTIES LLC.,"135 WEST 29TH STREET SUITE 506, MANHATTAN NY 10001",212 PL9-4000,CA123174R,0,KIRK & BIMPSON,1,3.5,1974,36 - 40 year old,2010,PETRO W4AH,#4,36500,25550,3958.5,5655,1,2015,Loft Buildings,3,M 05,"* 70,862",1,12,0,12,1911,,,40.747138,-73.99118,95,1015142,1008050019,Midtown-Midtown South
1008050022,129 WEST 29 STREET,10001,Manhattan,Con Edison,129 WEST 29 LLC,NEWMARK KNIGHT FRANK,"129 PARK AVE, NEW YORK NY 10017",212 233-8184,CB401505J,0,(EXISTING) ROCKMILLS MP-125,1,4.1,2005,5 to 10 years old,2040,(NEW) ICI MMG-57P,#4,28125,19688,2854.69,4078.13,1,2015,Loft Buildings,3,M 05,"* 85,869",1,12,0,16,1911,,,40.747085,-73.991057,95,1015143,1008050022,Midtown-Midtown South
1008050039,115 WEST 29 STREET,10001,Manhattan,Con Edison,"SCARLET KIM & CO., INC.",SCARLET KIM,"115 WEST 30TH STREET - 2R, MANHATTAN NY 10001",212-760-1766,CA071197H,0,ROCKMILLS MP-100,1,4.1,1997,11 to 15 years old,2032,ICI MMG-42 (P),#4,21750,15225,2207.625,3153.75,1,2015,Loft Buildings,3,M 05,"* 79,465",1,12,0,15,1913,,,40.746965,-73.990772,95,1015145,1008050039,Midtown-Midtown South
1008050094,150 WEST 30 STREET,10001,Manhattan,Con Edison,150 WEST 30TH STREET ASSOCIATE,150 WEST 30th ST. ASSOC.BERNSTEIN REAL ESTATE INC.,"150 WEST 30th STREET, MANHATTAN NY 10001",212-594-1414,CA154296R,2015,ROCKMILLS MP-250SS,2,9.55,1996,11 to 15 years old,2031,INDUSTRIAL COMB. DEG-105 (P),#6,68200,47740,7161,10230,1,2015,Loft Buildings,3,M 05,"* 216,841",1,20,0,45,1926,,,40.747876,-73.991064,95,1015152,1008050094,Midtown-Midtown South
1008060006,151 WEST 30 STREET,10001,Manhattan,Con Edison,151 West 30th Street LLC,MGMT.% WALTER SCHIK LAKE REALTY,"521 WEST 26TH ST., MANHATTAN NY 10001",212-971-9800,CA362784M,0,ROCKMILLS MP-125,1,4.3,1984,26 to 30 years old,2019,IND COMB MMG-54(P),#4,22320,15624,2265.48,3236.4,1,2016,Loft Buildings,3,M 05,"* 85,517",2,12,0,52,1912,,,40.74789,-73.991053,101,1015157,1008060006,Midtown-Midtown South
1008060026,115 WEST 30 STREET,10001,Manhattan,Con Edison,115 W.ASSOC/JUSTIN MGMT.,JUSTIN MGMT.,"1235 BROADWAY, MANHATTAN NY 10001",212-684-7573,CA104693P,0,FEDERAL FST-175,1,7,1993,16 to 20 years old,2028,IND COMBUSTION DEG-84 (P),#4,50000,35000,5075,7250,1,2016,Loft Buildings,3,M 05,"* 151,525",1,12,0,7,1912,,,40.747582,-73.990324,101,1015161,1008060026,Midtown-Midtown South
1008060034,855 AVENUE OF THE AMERICAS,10001,Manhattan,Con Edison,HABERN REALTY%BERNSTEIN REALESTATE,HABERN RLTY.%BERNSTEIN REAL ESTATE,"855 AVENUE OF THE AMERICAS, NEW YORK N.Y. 10001",212 594-1414,CB198702K,2012,FEDERAL FST-125,2,4.31,2002,5 to 10 years old,2037,ICI DEG-54 P,#6,25800,18060,2709,3870,0,,Vacant Land,3,M 05,0,0,0,0,0,0,,,40.747431,-73.989519,101,1088841,1008067502,Midtown-Midtown South
1008077501,125 WEST 31 STREET,10001,Manhattan,Con Edison,125 W. 31ST ST. ASSOC. LLC % S.F. & ASSOC.,125 W. 31ST ST. ASSOC. LLC % S.F. ASSOC.,"245 EAST 87 STREET, NEW YORK NY 10128",212 427-9700,CB196606P,0,CLEAVER BROOKS CB-900-600-15 (NEW),2,20,2006,Fewer than 5 years old,2041,CKEAVERBROOKS (INTEGRAL) (NEW),#4,25718280,18002796,0,0,1,2017,Condominiums,3,M 05,"* 473,783",1,59,93,462,2005,Yes,,40.74829,-73.990071,101,1087535,1008077501,Midtown-Midtown South
1008110001,463 7 AVENUE,10018,Manhattan,Con Edison,ARSENAL CO/MARTIN ROAMAN,ADAMS & COMPANY LLC,"411 5 AVENUE, MANHATTAN NY 10016",212-679-5500,CA192994L,0,EASTMOND ESP-350,2,13.86,1994,16 to 20 years old,2029,IND COMB DEG-145 (P),#4,152212,106549,15592.5,22275,1,2021,Office Buildings,3,M 05,"* 408,511",1,21,0,88,1925,,,40.751749,-73.990057,109,1015222,1008110001,Midtown-Midtown South
1008110016,131 WEST 35 STREET,10001,Manhattan,Con Edison,BILL REIF,BILL REIF,"131 WEST 35 STREET, MANHATTAN NY 10001",212,CA267671K,2014,FEDERAL FST 150,1,4.7,1971,36 - 40 year old,2010,HEV-E-OIL AM7E,#6,98404,68883,10424.4,14892,1,2021,Loft Buildings,3,M 05,"* 91,777",1,13,0,0,1913,,,40.750999,-73.988559,109,1015225,1008110016,Midtown-Midtown South
1008110056,142 WEST 36 STREET,10018,Manhattan,Con Edison,DERFNER MANAGEMENT,DERFNER MANAGEMENT,"245 EAST 80TH STREET, MANHATTAN NY 10021",212 744-2727,CA270092N,2013,FEDERAL FST-150 (EXG),1,6.3,1992,16 to 20 years old,2027,HEVE (I.C.) DEG 63-P (NEW),#6,57488,40241,6036.24,8623.2,1,2021,Loft Buildings,3,M 05,"* 101,203",1,16,0,20,1922,,,40.751732,-73.988414,109,1015231,1008110056,Midtown-Midtown South
1008120006,491 7 AVENUE,10018,Manhattan,Con Edison,499 FASHION TOWER LLCC/O KAUFMAN ADLER,499 FASHION TOWER LLC CO KAUFMAN ADLER,"499 7 AVENUE, MANHATTAN NY 10018",212 452-6051,CA216196K,0,ROCKMILLS MP-175,1,7,1996,11 to 15 years old,2031,I.C. DEG-84P,#4,50000,35000,5075,7250,1,2022,Office Buildings,3,M 05,"* 180,704",1,25,0,43,1925,,,40.752608,-73.989443,109,1015236,1008120006,Midtown-Midtown South
1008120006,491 7 AVENUE,10018,Manhattan,Con Edison,499 FASHION TOWER LLCC/O KAUFMAN ADLER,499 FASION TOWER LLCC C/O KAUFMAN ADLER,"499 SEVENTH AVE, NEW YORK NY 10018",212 452-6051,CA216296H,0,ROCKMILLS MP-175SS,1,7,1996,11 to 15 years old,2031,I.C. DEG-84P,#4,50000,35000,5075,7250,1,2022,Office Buildings,3,M 05,"* 180,704",1,25,0,43,1925,,,40.752608,-73.989443,109,1015236,1008120006,Midtown-Midtown South
1008120013,149 WEST 36 STREET,10018,Manhattan,Con Edison,NEWMARK & CO. REAL ESTATE INC.,NEWMARK KNIGHT FRANK,"1501 BROADWAY SUITE 1603, MANHATTAN NY 10036",212-354-2930,CA295393H,2015,ROCKMILLS MP-80,1,3.14,1993,16 to 20 years old,2028,ICI MEG-34 (P),#6,20160,14112,2116.8,3024,1,2022,Loft Buildings,3,M 05,"* 54,004",2,12,0,12,1909,,,40.751781,-73.988486,109,1080608,1008120013,Midtown-Midtown South
1008120016,141 WEST 36 STREET,10018,Manhattan,Con Edison,BRAUSE REALTY INC.,BRAUSE REALTY INC.,"52 VANDERBILT AVENUE, NEW YORK NY 10017",212 697-5454,CB032307M,0,FEDERAL FST - 90 (NEW),2,3,2007,Fewer than 5 years old,2042,ICI MMG - 42P (NEW),#4,41250,28875,4186.88,5981.25,1,2022,Office Buildings,3,M 05,"* 165,000",1,22,0,34,1911,,,40.751721,-73.988342,109,1015238,1008120016,Midtown-Midtown South
1008120019,135 WEST 36 STREET,10018,Manhattan,Con Edison,HOWARD WAREHOUSE INC.,HOWARD WAREHOUSE INC.,"135 WEST 36TH STREET, NEW YORK NY 10018",212 967-8100,CB532103L,0,ROCKMILLS MP-125 (NEW),1,4.18,2003,5 to 10 years old,2038,IC MMG-54P (NEW),#4,28125,19688,2854.6875,4078.13,1,2022,Loft Buildings,3,M 05,"* 108,214",1,22,0,25,1925,,,40.751677,-73.988234,109,1015239,1008120019,Midtown-Midtown South
1008120063,134 WEST 37 STREET,10018,Manhattan,Con Edison,THOMAS F.COMPENNI,THOMAS F. CAMPENNI,"700 ST. LUCIE CRESCENT , MANHATTAN NY 34994",212-575-1180,CA357286N,0,FEDERAL FST 200,1,7.8,1986,21 to 26 years old,2021,I.C.I. DEG 84 P,#4,82125,57488,8623.125,12318.75,1,2022,Loft Buildings,3,M 05,"* 120,000",1,12,0,13,1914,,,40.752377,-73.988028,109,1015247,1008120063,Midtown-Midtown South
1008130023,1372 BROADWAY,10018,Manhattan,Con Edison,SL GREEN REALTY CORP.,S L GREEN REALTY CORP.,"420 LEXINGTON AVENUE, MANHATTAN NY 10018",212-594-2700,CA023182Z,0,ROCKMILLS MP350,2,14.7,1982,26 to 30 years old,2017,HEVE DE-145-P,#4,329906,230935,33795.3,48279,1,2013,Office Buildings,3,M 05,"* 479,620",2,20,0,0,1914,,,40.75227,-73.987454,109,1080609,1008130023,Midtown-Midtown South
1008130040,102 WEST 38 STREET,10018,Manhattan,Con Edison,38TH & 6TH ASSOCIATES LLC,38TH & 6TH ASSOCIATES LLC c/o FIRST PIONEER PROP..,"34-09 QUEENS BLVD, L.I.C NY 11101",718 482-0700,CB231803H,0,ROCKMILLS MP-90,1,3.78,2003,5 to 10 years old,2038,INDUSTRIAL COMBUSTION MMG-42P,#4,19950,13965,2024.925,2892.75,0,,Office Buildings,3,M 05,"* 37,271",1,9,0,1,1906,,,40.752426,-73.986227,109,1015260,1008130040,Midtown-Midtown South
1008140030,107 WEST 38 STREET,10018,Manhattan,Con Edison,DIVERSIFIED MANAGEMENT,109 WEST 38TH STREET LLC.,"107 WEST 38TH ST., NEWYORK NY 10005",212 422 2446,CA225893K,0,FEDERAL FST-70,1,2.59,1993,16 to 20 years old,2028,HEV-E OIL MMG-30,#4,19845,13892,2014.2675,2877.53,1,2014,Loft Buildings,3,M 05,"* 52,289",1,12,0,42,1923,,,40.752511,-73.986382,113,1015267,1008140030,Midtown-Midtown South
1008140052,1410 BROADWAY,10018,Manhattan,Con Edison,L.H.CHARNEY ASSOCIATES,L.H. CHARNEY ASSOCIATES,"P.O.B. 1435, MANHATTAN NY 10018",212 391 0060,CA447587X,2015,FEDERAL FST 350,2,14.7,1987,21 to 26 years old,2022,ICI DEG 145 P,#6,311122,217786,31871.07,45530.1,1,2014,Office Buildings,3,M 05,"* 367,212",1,33,0,106,1930,,,40.753497,-73.987111,113,1015274,1008140052,Midtown-Midtown South
1008150014,1412 BROADWAY,10018,Manhattan,Con Edison,S L GREEN CORP.,1412 OWNERS LLC.C/O MURRAY HILL PROPERTIES LLC,"1140 AVE OF THE AMERICAS 12TH, MANHATTAN NY 10036",212-944-4747,CA031477X,0,ROCKMILLS MP 600,2,25.21,1977,31 to 35 years old,2012,IND COMB # DE-252-P,#4,255840,179088,26208,37440,1,2015,Office Buildings,3,M 05,"* 361,767",2,23,0,70,1926,,,40.753711,-73.987046,113,1080611,1008150014,Midtown-Midtown South
1008150039,110 WEST 40 STREET,10018,Manhattan,Con Edison,110 W.40 JOINT VENTURE,"110 W.40 JOINT VEN%ADAMS & CO.,LLC","411 5 AVENUE, MANHATTAN NY 10016",212-679-5500,CA128097P,0,FEDERAL FST 200,1,8.4,1997,11 to 15 years old,2032,INDUSTRIAL COMB. DEG-84 P,#4,57720,40404,6060.6,8658,1,2015,Office Buildings,3,M 05,"* 129,808",2,25,0,114,1914,,,40.753818,-73.985696,113,1080614,1008150039,Midtown-Midtown South
1008160074,58 WEST 15 STREET,10011,Manhattan,Con Edison,"PICASO,GERARD","PICASO,GERARD","1133 BROADWAY, MANHATTAN NY 10010",212-807-3539,CA094078R,0,ROCKMILLS MP 80,1,3.4,1978,31 to 35 years old,2013,ICI MM 34,#4,35770,25039,3630.655,5186.65,0,,Elevator Apartments,3,M 05,"* 31,496",1,10,9,10,1920,,,40.737781,-73.995742,54,1015301,1008160074,Hudson Yards-Chelsea-Flatiron-Union Square
1008170085,54 WEST 16 STREET,10011,Manhattan,Con Edison,54 W. 16 ST. APT. CORP. % C.H. GREENTHAL,54 W. 16 ST. APT. CORP. % C.H.GREENTHAL,"4 PARK AVENUE 3rd fl., NEW YORK NY 10016",212 340-9604,CB483203Y,0,BEST 5D-150 (NEW),1,5.02,2003,5 to 10 years old,2038,HEVE (I.C.) DEG-63P (NEW),#4,65700,45990,6898.5,9855,1,2017,Elevator Apartments,3,M 05,"* 126,300",1,15,119,121,1955,,Yes,40.738042,-73.994364,54,1015317,1008170085,Hudson Yards-Chelsea-Flatiron-Union Square
1008180066,26 WEST 17 STREET,10011,Manhattan,Con Edison,EDMAL REALTY COMPANY WINTER MGMT.,EDMAL REALTY C/O WINTER MGMT CO,"730 FIFTH AVENUE 12TH FL., MANHATTAN NY 10019",212-616-8930,CA183781N,0,FEDERAL FST-150,1,6.3,1981,26 to 30 years old,2016,HEVE DEG 63-S,#4,132018,92412,13300.308,19000.44,1,2018,Loft Buildings,3,M 05,"* 106,770",1,12,0,14,1907,,,40.738349,-73.993277,54,1015400,1008180066,Hudson Yards-Chelsea-Flatiron-Union Square
1008180078,50 WEST 17 STREET,10011,Manhattan,Con Edison,50 WEST 17TH LLC % THE ARGO CORP.,"The Argo Corp., As Agent 50 W. 17TH LLC","50 WEST 17 STREET, NEW YORK NY 10011",212 896-8600,CB261503R,0,BEST 5C-150 (NEW),1,5.02,2003,5 to 10 years old,2038,INDUSTRIAL COMBUSTION-DEG-63P (NEW),#4,33600,23520,3528,5040,1,2018,Office Buildings,3,M 05,"* 68,590",1,12,0,13,1911,,,40.738585,-73.99384,54,1015405,1008180078,Hudson Yards-Chelsea-Flatiron-Union Square
1008190019,33 WEST 17 STREET,10011,Manhattan,Con Edison,IRVING REALTY OF NY LLC.,IRVING REALTY OF NY LLC.,"33 WEST 17TH STREET9 FLOOR, MANHATTAN NY 10011",212-206-8144,CA322269L,0,DELANEY UNKNOWN,1,6.07,1969,41 - 45 years old,2010,YORK TYPE APM SIZE B125,#4,51840,36288,5443.2,7776,1,2019,Loft Buildings,3,M 05,"* 51,988",1,11,0,17,1907,,,40.738437,-73.99344,54,1015412,1008190019,Hudson Yards-Chelsea-Flatiron-Union Square
1008190056,23 WEST 17 STREET,10011,Manhattan,Con Edison,17-18 MANAGEMENT CORP,17-18 MGMT.CORP,"18 WEST 18 STREET, MANHATTAN NY 10011",212-924-5177,CA334567H,2014,FEDERAL FST 250,1,10.5,1967,41 - 45 years old,2010,TODD A011,#6,136875,95813,14371.88,20531.25,1,2019,Loft Buildings,3,M 05,"* 143,338",1,11,0,0,1903,,,40.738341,-73.993209,54,1015426,1008190056,Hudson Yards-Chelsea-Flatiron-Union Square
1008200026,22 WEST 19 STREET,10011,Manhattan,Con Edison,18 - 19 ASSOC. % KAUFMAN ASSOC.,KAUFMAN ASSOC.,"450 7 AVENUE, NEW YORK NY 10001",212 563-6252,CB108308N,2012,FEDERAL FST - 250 (EXSTG),1,8.3,2008,Fewer than 5 years old,2043,ICI DEG - 105P (NEW),#6,47250,33075,4961.25,7087.5,1,2020,Loft Buildings,3,M 05,"* 162,997",1,11,0,12,1901,,,40.73948,-73.992332,54,1015446,1008200026,Hudson Yards-Chelsea-Flatiron-Union Square
1008200036,3 WEST 18 STREET,10011,Manhattan,Con Edison,K & S REALTY CO.,3 W. 18th STREET LLC/EYTAN KAUFMAN,"6 W. 18th ST. UNIT #20, MANHATTAN NY 10011",212-989-4452,CA586986N,0,ROCKMILLS MP 60,1,2.3,1986,21 to 26 years old,2021,ICI MMG 28,#4,12480,8736,1266.72,1809.6,0,,Office Buildings,3,M 05,"* 34,360",1,8,0,17,1900,,,40.738736,-73.992321,54,1015450,1008200036,Hudson Yards-Chelsea-Flatiron-Union Square
1008207501,140 5 AVENUE,10011,Manhattan,Con Edison,FLATIRON 5TH AVE. CONDO.,FLATIRON 5TH AVE. CONDO.,"140 5TH AVENUE, MANHATTAN NY 10010",212-807-6969,CA224082M,0,ROCKMILLS MP 125,1,5.3,1982,26 to 30 years old,2017,HEVE DEG-54-P,#4,57488,40241,5835.032,8335.76,0,,Condominiums,3,M 05,"* 40,248",1,12,21,27,1901,,,40.739005,-73.991448,54,1015455,1008207501,Hudson Yards-Chelsea-Flatiron-Union Square
1008207503,8 WEST 19 STREET,10011,Manhattan,Con Edison,M.M. PROPERTIES U.S.A. INC,"M.M.PROPERTIES U.S.A.,INC","101 5 AVENUE 10TH FLOOR, MANHATTAN NY 10003",212-989-4452,CA207281K,0,FEDERAL FST 80,1,3.5,1981,26 to 30 years old,2016,I C I MMG 34 (P),#4,38325,26828,3889.9875,5557.13,1,2020,Condominiums,3,M 05,"* 43,481",1,11,7,11,0,Yes,,40.739343,-73.992003,54,1015456,1008207503,Hudson Yards-Chelsea-Flatiron-Union Square
1008207504,16 WEST 19 STREET,10011,Manhattan,Con Edison,EST. OF SYLVIA GLASER % WM. REAL EST.,GVA WILLIAMS,"380 MADISON AVE, NEW YORK NY 10017",212 716-3803,CB209502J,0,FEDERAL FST-90,1,3.01,2002,5 to 10 years old,2037,INDUSTRIAL COMBUSTION MMG-42P,#4,15960,11172,1619.94,2314.2,1,2020,Condominiums,3,M 05,"* 58,594",1,14,57,58,1906,Yes,,40.739422,-73.992191,54,1087504,1008207504,Hudson Yards-Chelsea-Flatiron-Union Square
1008210038,5 WEST 19 STREET,10011,Manhattan,Con Edison,142 5TH AVENUE OWNERS CO/COBB,142 5 AVE.OWNERS CORP/JAN COBB.,"5 WEST 19 STREET, MANHATTAN NY 10011",XXX,CA449688Y,0,ROCKMILLS MP 150,1,5.9,1988,21 to 26 years old,2023,I.C.I. MMG-63,#4,43200,30240,4384.8,6264,1,2021,Elevator Apartments,3,M 05,"* 91,000",1,10,11,23,1900,,Yes,40.739337,-73.991946,54,1015475,1008210038,Hudson Yards-Chelsea-Flatiron-Union Square
1008210055,20 WEST 20 STREET,10011,Manhattan,Con Edison,"DEZER PROPERTIES,II LLC","DEZER PROPERTIES,II LLC","89 5 TH AVENUE 11TH FL., MANHATTAN NY 10003",212 919-1285,CA194796J,0,FEDERAL FST-150,1,6.23,1996,11 to 15 years old,2031,I.C.I. MMG-63P,#4,44500,31150,4516.75,6452.5,1,2021,Office Buildings,3,M 05,"* 94,622",1,11,0,40,1906,,,40.740048,-73.991855,54,1015480,1008210055,Hudson Yards-Chelsea-Flatiron-Union Square
1008220015,27 WEST 20 STREET,10011,Manhattan,Con Edison,DEZER PROPERTIES,DEZER PROPERTIES,"89 5 AVENUE, NEW YORK NY 10003",212 829-8550,CB008208H,0,ROCKMILLS MP - 150 (EXSTG),1,5,2008,Fewer than 5 years old,2043,ICI MMG - 63P (NEW),#4,33375,23363,3387.5625,4839.38,1,2022,Office Buildings,3,M 05,"* 101,504",1,12,0,1,1908,,,40.740136,-73.992021,54,1015491,1008220015,Hudson Yards-Chelsea-Flatiron-Union Square
1008220023,17 WEST 20 STREET,10011,Manhattan,Con Edison,SEALAND REALTY CORP.,SEALAND REALTY CORP.,"P.O.B. 2093, MANHATTAN NY 10013",212-966-5077,CA273073L,0,CROTTY CSM 26,1,1.12,1973,36 - 40 year old,2010,HEV-E-OIL AM 3 DH,#4,13140,9198,812,1160,0,,Loft Buildings,3,M 05,"* 16,724",1,6,3,17,1910,,,40.74004,-73.99179,54,1015493,1008220023,Hudson Yards-Chelsea-Flatiron-Union Square
1008220031,156 5 AVENUE,10010,Manhattan,Con Edison,HRC CORPORATION,HRC CORPORTION,"156 5th AVENUE, MANHATTAN NY 10010",212-807-7664,CA156794Z,0,FEDERAL FST-350,1,13.86,1994,16 to 20 years old,2029,INDUSTRIAL COMB. DEG-145 (P),#4,74250,51975,7796.25,11137.5,1,2022,Office Buildings,3,M 05,"* 184,509",1,14,0,116,1900,,,40.739905,-73.990791,54,1015499,1008220031,Hudson Yards-Chelsea-Flatiron-Union Square
1008220039,160 5 AVENUE,10010,Manhattan,Con Edison,160 OWNER LLC,"160 OWNER LLC C/O RFR REALTY LLC,as agents","275 MADISON AVE, NEW YORK NY 10016",212-947-9715,CA171489H,0,ROCKMILLS MP-150,1,6.27,1989,21 to 26 years old,2024,ICI DEG-63P,#4,49056,34339,5075,7250,1,2022,Office Buildings,3,M 05,"* 112,188",1,9,0,52,1900,,,40.740177,-73.990589,54,1015500,1008220039,Hudson Yards-Chelsea-Flatiron-Union Square
1008220049,12 WEST 21 STREET,10010,Manhattan,Con Edison,12 WEST 21ST STREET ASSOC,MERINGOFF PROPERTIES,"30 WEST 26 STREET, MANHATTAN NY 10010",212-957-4492,CA347073K,0,ROCKMILLS MP 150,1,6.3,1973,36 - 40 year old,2010,HEV-E-OIL DM 63 (S),#4,39960,27972,4055.94,5794.2,1,2022,Loft Buildings,3,M 05,"* 51,176",1,12,0,41,1907,,,40.740558,-73.991238,54,1015502,1008220049,Hudson Yards-Chelsea-Flatiron-Union Square
1008220058,30 WEST 21 STREET,10010,Manhattan,Con Edison,SANSON MGMT.,BSC PROPERTY MANAGEMENT LLC,"P.O.B. 613, WASHINGTON AVE CT 06794",866-390-7246,CA120074X,0,ROCKMILLS MP 150,1,5.27,1974,36 - 40 year old,2010,HEVE OIL DE 63-5,#4,44800,31360,4547.2,6496,1,2022,Office Buildings,3,M 05,"* 50,176",1,12,0,11,1907,,,40.740737,-73.99166,54,1015506,1008220058,Hudson Yards-Chelsea-Flatiron-Union Square
1008220062,38 WEST 21 STREET,10010,Manhattan,Con Edison,JACK VOGEL ASSOCIATES,JACK VOGEL ASSOCIATES,"36 E 12TH ST FL 7, NEW YORK NY 10003-4604",212-677-2632,CA575686H,0,BEST 4 C150,1,5.1,1986,21 to 26 years old,2021,ICI MM 63P,#4,64480,45136,6496,9280,1,2022,Loft Buildings,3,M 05,"* 68,508",1,12,0,19,1908,,,40.740816,-73.991848,54,1015508,1008220062,Hudson Yards-Chelsea-Flatiron-Union Square
1008230037,162 5 AVENUE,10010,Manhattan,Con Edison,162 ASSOCIATES LLCC/O MUTRRY HILL,162 ASSOCATES LLC c/o ABS PARTNERS RE LLC,"200 PARK AVENUE SOUTH, MANHATTAN NY 10003",212 400-6060,CA265489P,0,ROCKMILLS MP 150,1,6.27,1989,21 to 26 years old,2024,ICI DEG 63P,#4,49056,34339,5075,7250,1,2013,Loft Buildings,3,M 05,"* 108,167",1,11,0,7,1930,,,40.740358,-73.990459,58,1015534,1008237506,Hudson Yards-Chelsea-Flatiron-Union Square
1008230073,56 WEST 22 STREET,10010,Manhattan,Con Edison,56 REALTY CORP.,COLLIERS INTERNATIONAL N.Y. LLC/FRANK LaSUSA,"380 MADISON AVENUE 3RD FL., MANHATTAN NY 10017",212 716-3803,CA212798J,0,EASTMOND ESP-90,1,3.72,1998,11 to 15 years old,2033,INDUSTRIAL COMBUSTION MMG-42 P,#4,26600,18620,2699.9,3857,1,2013,Loft Buildings,3,M 05,"* 55,200",1,12,22,23,1907,,,40.74161,-73.991823,58,1015552,1008230073,Hudson Yards-Chelsea-Flatiron-Union Square
1008240015,50 WEST 23 STREET,10010,Manhattan,Con Edison,MATANA LLC,Matana LLC NEWMARK & CO.,"545 FIFTH AVE, NEW YORK NY 10017-5695",212 372 2000,CB041705P,2014,(EXISTING) FEDERAL FST-350SP (EXSTG),2,11.7,2005,5 to 10 years old,2040,(NEW) ICI DEG-145P (NEW),#6,144450,101115,15167.25,21667.5,1,2014,Office Buildings,3,M 05,"* 284,930",2,13,0,4,1906,,,40.742222,-73.991195,58,1080667,1008240015,Hudson Yards-Chelsea-Flatiron-Union Square
1008240032,3 WEST 22 STREET,10010,Manhattan,Con Edison,SCHIRRMESTER BROTHERS,GRAYSTONE MANAGEMENT,"30 VESEY STREET, MANHATTAN NY 10007",212-233-3666,CA338269H,2014,ROCKMILLS MP150,1,5.9,1969,41 - 45 years old,2010,RAY AEOR-144 SIZE 150,#6,55480,38836,5825.4,8322,1,2014,Loft Buildings,3,M 05,"* 74,027",1,10,0,55,1901,,,40.74111,-73.990592,58,1015559,1008240032,Hudson Yards-Chelsea-Flatiron-Union Square
1008250017,43 WEST 23 STREET,10010,Manhattan,Con Edison,"CASTRO,CONVERTIBLES",BERNADETTE CASTRO,"95 FOREST AVE, LOCUST VALLEY NY 11560",516-656-3100,CA146885P,0,ROCKMILLS MP-4-162,1,6.44,1985,21 to 26 years old,2020,ICI DE-63 (P),#4,37559,26291,3812.2385,5446.06,1,2015,Office Buildings,3,M 05,"* 94,200",1,8,0,5,1903,,,40.74217,-73.991021,58,1015579,1008250017,Hudson Yards-Chelsea-Flatiron-Union Square
1008260026,19 WEST 24 STREET,10010,Manhattan,Con Edison,F M RING ASSOCIATES,F M RING ASSOCIATES,"20 WEST 47 STREET, MANHATTAN NY 10036",212-765-1655,CA381289Z,2014,SPENCER LW 175,1,11,1989,21 to 26 years old,2024,ICI MEG 63S,#6,44400,31080,4725,6750,1,2016,Loft Buildings,3,M 05,"* 51,659",1,12,0,13,1910,,,40.742633,-73.990094,58,1015598,1008260026,Hudson Yards-Chelsea-Flatiron-Union Square
1008260057,24 WEST 25 STREET,10010,Manhattan,Con Edison,24 WEST 25TH ASSOCIATES LTD.,"24 W. 25 Assoc. L.P./Colliers International NY,LLC","380 MADISON AVE., 3RD FL., NEW YORK NY 10017",212-716-3563,CA225472M,0,FEDERAL#FLW-1822,1,6.37,1972,36 - 40 year old,2010,IRON FIREMAN#A06-9.8,#4,136181,95327,13950.3,19929,1,2016,Loft Buildings,3,M 05,"* 103,754",2,12,0,1,1911,,,40.743383,-73.990004,58,1080686,1008260057,Hudson Yards-Chelsea-Flatiron-Union Square
1008260063,36 WEST 25 STREET,10010,Manhattan,Con Edison,"25th STREET TIC,LLC%HMH REALTY",25th STREET TIC LLC%HMH REALTY,"36 WEST 25 STREET, MANHATTAN N.Y. 10001",212 736-6888,CB157301H,0,EASTMOND ESP 125,1,5.25,2001,5 to 10 years old,2036,INDUSTRIAL COMB- DEG-54 P,#4,20640,14448,2094.96,2992.8,1,2016,Loft Buildings,3,M 05,"* 65,372",1,16,0,12,1913,,,40.743484,-73.990242,58,1015608,1008260063,Hudson Yards-Chelsea-Flatiron-Union Square
