Program Type,Program,Name,Borough/Community,Agency,Contact Number,Grade Level / Age Group,Location 1,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 19 CURTIS SCHOOL,Staten Island,YMCA of Greater New York/Staten Island YMCA,(718) 889-3477,OST,"780 POST AVENUE10310
(40.631189624083, -74.127115288525)",10310,40.631214,-74.127101,1,49,141,5006175,5002270024,West New Brighton-New Brighton-St. George                                  
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 19 - Curtis School,Staten Island,"Jewish Community Center of Staten Island, Inc.",718-508-3883,A parent 16 Years Old or Older,"780 Post Avenue10310
(40.631189624083, -74.127115288525)",10310,40.631214,-74.127101,1,49,141,5006175,5002270024,West New Brighton-New Brighton-St. George                                  
After-School Programs,Out of School Time,P.S. 19 CURTIS SCHOOL,Staten Island,YMCA of Greater New York/Staten Island YMCA,(718) 889-3477,Elementary,"780 POST AVENUE10310
(40.631189624083, -74.127115288525)",10310,40.631214,-74.127101,1,49,141,5006175,5002270024,West New Brighton-New Brighton-St. George                                  
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Brooklyn College Arts Lab,Brooklyn,NEW UTRECHT HIGH SCHOOL (K445),(718) 951-5015,High School,"2900 Bedford Avenue11210
(40.631966842283, -73.95273309691)",11210,40.631691,-73.952656,14,45,772,3347326,3075520100,Flatbush                                                                   
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 44 THOMAS BROWN SCHOOL,Staten Island,"United Activities Unlimited, Inc.",(718) 644-1318,OST,"80 MAPLE PARKWAY10303
(40.631719419122, -74.156535718993)",10303,40.63179,-74.156439,1,49,231,5027641,5012180001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
After-School Programs,Out of School Time,P.S. 44 THOMAS BROWN SCHOOL,Staten Island,"United Activities Unlimited, Inc.",(718) 644-1318,Elementary,"80 MAPLE PARKWAY10303
(40.631719419122, -74.156535718993)",10303,40.63179,-74.156439,1,49,231,5027641,5012180001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
"Family Support,NDA Programs",Housing,Agudath Isreal of America Community Services Inc.,Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",(718) 435-1300,Adults,"4002 18th Avenue11218
(40.632627492956, -73.973257000132)",11218,40.632541,-73.973386,14,44,484,3127620,3054110030,Kensington-Ocean Parkway                                                   
"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA BAY VIEW HOUSES,Brooklyn,Sesame Flyers  @Bayview Community Center,(718) 968-9621,6 and up,"5985 Shore Parkway11236
(40.631315416408, -73.885653623448)",11236,40.632639,-73.883788,18,46,1034,3331443,3083290225,Canarsie                                                                   
"Family Support,NDA Programs",Healthy Families,Hebrew Educational Society,Brooklyn,Queens Community in Jackson Heights,(718) 241-3000,,"9502 Seaview Avenue11236
(40.632674553251, -73.891241823892)",11236,40.632808,-73.89122,18,46,1028,3235056,3083180008,Canarsie                                                                   
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 105 BLYTHEBOURNE SCHOOL,Brooklyn,Brooklyn Chinese American Association,(718) 438-0008,Elementary,"1031 59 STREET11219
(40.63300376502, -74.003813362768)",11219,40.632936,-74.00374,12,38,214,3140612,3057020001,Borough Park                                                               
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 105 - Blythebourne School,Brooklyn,Brooklyn Chinese American Association,718-438-0008,A parent 16 Years Old or Older,"1031 59th Street11219
(40.63300376502, -74.003813362768)",11219,40.632936,-74.00374,12,38,214,3140612,3057020001,Borough Park                                                               
After-School Programs,Out of School Time,Bnos Zion of Bobov,Brooklyn,"Bnos Zion of Bobov, Inc",(718) 438-3080,High School,"5000 14th Avenue11219
(40.633159063806, -73.99053337012)",11219,40.633057,-73.990593,12,44,236,3138079,3056490038,Borough Park                                                               
After-School Programs,Out of School Time,South Shore HS,Brooklyn,"Global Kids, Inc.",(212) 226-0130,High School,"6565 Flatlands Avenue11236
(40.632685104151, -73.917816917708)",11236,40.633285,-73.916735,18,46,950,3224139,3079980005,Canarsie                                                                   
After-School Programs,Out of School Time,P.S. 217 COL. DAVID MARCUS SCHOOL,Brooklyn,Flatbush Development Corporation,(718) 859-3800,Elementary,"1100 NEWKIRK AVENUE11230
(40.633960964399, -73.966505506315)",11230,40.63398,-73.966558,14,40,526,3121072,3052320001,Flatbush                                                                   
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 217 COL. DAVID MARCUS SCH,Brooklyn,Flatbush Development Corporation,(718) 859-3800,OST,"1100 NEWKIRK AVENUE11230
(40.633960964399, -73.966505506315)",11230,40.63398,-73.966558,14,40,526,3121072,3052320001,Flatbush                                                                   
After-School Programs,Out of School Time,P.S. 217 COL. DAVID MARCUS SCHOOL,Brooklyn,Flatbush Development Corporation,(718) 859-3800,High School,"1100 Newkirk Avenue11230
(40.633960964399, -73.966505506315)",11230,40.63398,-73.966558,14,40,526,3121072,3052320001,Flatbush                                                                   
"After-School Programs,Summer Program,Summer Camp",Out of School Time,I.S. 61 WILLIAM MORRIS SCHOOL,Staten Island,The Childrens Aid Society,(718) 727-8481,Middle School,"445 Castleton Avenue10301
(40.634016228972, -74.097822417495)",10301,40.634009,-74.097826,1,49,67,5002227,5001000100,New Brighton-Silver Lake                                                   
After-School Programs,Teen Action Program,I S 061 WILLIAM A MORRIS (R061),Staten Island,The Children's Aid Society,718.727.8481,13 to 21,"445 Castleton Avenue10301
(40.634016228972, -74.097822417495)",10301,40.634009,-74.097826,1,49,67,5002227,5001000100,New Brighton-Silver Lake                                                   
After-School Programs,Out of School Time,P.S. 102 BAY VIEW SCHOOL,Brooklyn,Heartshare Human Services,(718) 567-2365,Elementary,"211 72nd Street11209
(40.634115356514, -74.02934312422)",11209,40.63402,-74.029036,10,43,68,3146491,3058900001,Bay Ridge                                                                  
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 102 BAY VIEW SCHOOL,Brooklyn,Heartshare Human Services,(718) 567-2365,OST,"211 72nd Street11209
(40.634115356514, -74.02934312422)",11209,40.63402,-74.029036,10,43,68,3146491,3058900001,Bay Ridge                                                                  
After-School Programs,Out of School Time,Port Richmond HS 1,Staten Island,New York Center for Interpersonal Development,(718) 947-4122,High School,"85 St Joseph Avenue10302
(40.634662320583, -74.141817858865)",10302,40.634573,-74.141818,1,49,213,5026076,5011210001,Port Richmond                                                              
After-School Programs,Out of School Time,Port Richmond HS 2,Staten Island,New York Junior Tennis League,(347) 417-8189,Elem/MS/HS,"85 St Joseph Avenue10302
(40.634662320583, -74.141817858865)",10302,40.634573,-74.141818,1,49,213,5026076,5011210001,Port Richmond                                                              
"After-School Programs,Summer Program,Summer Camp",Out of School Time,CYO,Staten Island,"Catholic Charities Community Service, Archdiocese of N Y",(718) 448-4949,Elementary,"120 Anderson Avenue10302
(40.634856958287, -74.134310220113)",10302,40.634927,-74.134422,1,49,213,5024253,5010360019,Port Richmond                                                              
After-School Programs,Out of School Time,CYO,Staten Island,"Catholic Charities Community Service, Archdiocese of N Y",(718) 448-4949,Elem/MS,"120 Anderson Avenue10302
(40.634856958287, -74.134310220113)",10302,40.634927,-74.134422,1,49,213,5024253,5010360019,Port Richmond                                                              
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 251 PAERDERGAT SCHOOL,Brooklyn,Bergen Beach Youth Organization,(917) 538-5567,Elementary,"1037 54 STREET11234
(40.632727305191, -73.924418680977)",11219,40.635571,-74.000551,12,44,218,,,Borough Park                                                               
"Immigration Services,Immigrant Support Services",Legal Assistance Program,El Centro de Hospitalidad ,Staten Island,"Catholic Charities Community Service, Archdiocese of N Y",718-420-6466 646-772-0096,All Ages,"1546 Castleton Avenue10302
(40.635892495899, -74.134496077675)",10302,40.63586,-74.134431,1,49,207,5024246,5010350014,Port Richmond                                                              
"Family Support,NDA Programs",Healthy Families,"Guardians of the Sick, Inc.",Brooklyn,Queens Community House,(718) 438-2020,,"5216 11th Avenue11219
(40.635910755078, -73.998398351425)",11219,40.635862,-73.998429,12,44,218,3138585,3056600050,Borough Park                                                               
"After-School Programs,Summer Program,Summer Camp",Out of School Time,PS 272 Temporary,Brooklyn,Bergen Basin Community Development Corp.,(917) 968-2254,Elementary,"101 24 Seaview Ave
Temporary 11236
(40.640021493797, -73.901121939926)",11236,40.635916,-73.886412,18,46,1034,3235262,3083290250,Canarsie                                                                   
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Flatbush Development Corporation,Brooklyn,Jacob Riis Neighborhood Settlement House,(718) 859-3800,Middle School,"1616 Newkirk Avenue11226
(40.63599627408, -73.962302128878)",11226,40.63604,-73.962241,14,40,518,3121203,3052370006,Flatbush                                                                   
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Flatbush YMCA,Brooklyn,YMCA of Greater New York / ELESAIR,(212) 875-4336,16+,"1401 Flatbush Avenue11210
(40.636590672567, -73.951602593108)",11210,40.636511,-73.951539,14,45,788,3120877,3052280008,Flatbush                                                                   
After-School Programs,Out of School Time,YMCA/Flatbush,Brooklyn,YMCA of Greater New York/Flatbush Branch,(718) 469-8100,High School,"1401 Flatbush Avenue11210
(40.636590672567, -73.951602593108)",11210,40.636511,-73.951539,14,45,788,3120877,3052280008,Flatbush                                                                   
After-School Programs,Teen Action Program,PS 018 JOHN G WHITTIER (R018),Staten Island,"United Activities Unlimited, Inc.",718.448.0477,13 to 21,"221 Broadway10310
(40.636039309097, -74.117473690981)",10310,40.636587,-74.117509,1,49,105,5004877,5001760010,New Brighton-Silver Lake                                                   
After-School Programs,Beacon,PS 18,Staten Island,United Activities Unlimited,718.448.4834,6 and up,"221 Broadway10310
(40.636039309097, -74.117473690981)",10310,40.636587,-74.117509,1,49,105,5004877,5001760010,New Brighton-Silver Lake                                                   
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 18 JOHN GREENLEAF WHITTIE,Staten Island,"United Activities Unlimited, Inc.",(718) 448-4834,OST,"221 BROADWAY10310
(40.636039309097, -74.117473690981)",10310,40.636587,-74.117509,1,49,105,5004877,5001760010,New Brighton-Silver Lake                                                   
After-School Programs,Out of School Time,P.S. 18 JOHN GREENLEAF WHITTIE,Staten Island,"United Activities Unlimited, Inc.",(718) 448-4834,Elementary,"221 BROADWAY10310
(40.636039309097, -74.117473690981)",10310,40.636587,-74.117509,1,49,105,5004877,5001760010,New Brighton-Silver Lake                                                   
"Jobs & Internships,Youth Employment",Summer Youth Employment ,"United Activities Unlimited, Inc.",Staten Island,"United Activities Unlimited, Inc.",718-448-4834,14 to 24,"221 Broadway10301
(40.626785508445, -74.096112910882)",10310,40.636587,-74.117509,1,49,105,5004877,5001760010,New Brighton-Silver Lake                                                   
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),United Activities Unlimited @ PS 18 Beacon,Staten Island,"United Activities Unlimited, Inc.",718.987.8111,High School,"221 Broadway10310
(40.636039309097, -74.117473690981)",10310,40.636587,-74.117509,1,49,105,5004877,5001760010,New Brighton-Silver Lake                                                   
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"4608 13th Avenue11219
(40.636670213094, -73.990459280846)",11219,40.636595,-73.990502,12,44,222,3328605,3056220038,Borough Park                                                               
After-School Programs,Beacon,PS 269,Brooklyn,Church Avenue Merchants Block Association Inc. ,718.462.2597 ext.232,6 and up,"1957 Nostrand Avenue11210
(40.63792479299, -73.948168194715)",11210,40.637711,-73.948159,17,45,788,3113780,3049940023,Flatbush                                                                   
After-School Programs,Out of School Time,P.S. 269 NOSTRAND SCHOOL,Brooklyn,"Church Avenue Merchants Block Association, Inc.",(718) 282-5575,Elementary,"1957 Nostrand Avenue11210
(40.63792479299, -73.948168194715)",11210,40.637711,-73.948159,17,45,788,3113780,3049940023,Flatbush                                                                   
"Jobs & Internships,Youth Employment",Summer Youth Employment ,"Church Avenue Merchants Block Association, Inc.",Brooklyn,"Church Avenue Merchants Block Association, Inc.",718-462-2597 ,14 to 24,"1957 Nostrand Ave11210
(40.63792479299, -73.948168194715)",11210,40.637711,-73.948159,17,45,788,3113780,3049940023,Flatbush                                                                   
After-School Programs,Out of School Time,P.S. 269 NOSTRAND SCHOOL,Brooklyn,CAMBA  ,(718) 462-2597,Elementary,"1957 Nostrand Avenue11210
(40.63792479299, -73.948168194715)",11210,40.637711,-73.948159,17,45,788,3113780,3049940023,Flatbush                                                                   
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Lutheran Family Health Centers Adult & Family Education,Brooklyn,Lutheran Family Health Centers Adult & Family Education,(718) 630-7150 x 4070,16+,"6025 6th Avenue11220
(40.637992703156, -74.014094988895)",11220,40.637961,-74.014149,7,38,118,3143523,3057840001,Sunset Park East                                                           
After-School Programs,Out of School Time,Yeshiva Kehilath Yakov - Girls,Brooklyn,Yeshiva Kehilath Yakov,(718) 963-1212,Elementary,"1402 40th Street11218
(40.638658994433, -73.98458146564)",11218,40.63851,-73.984316,12,39,230,3124884,3053450006,Borough Park                                                               
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Yeshiva Kehilath Yakov - Girls,Brooklyn,Yeshiva Kehilath Yakov,(718) 963-1212,OST,"1402 40th Street11218
(40.638658994433, -73.98458146564)",11218,40.63851,-73.984316,12,39,230,3124884,3053450006,Borough Park                                                               
After-School Programs,Out of School Time,I.S. 62 DITMAS SCHOOL,Brooklyn,Flatbush Development Corporation,(718) 941-5450,Middle School,"700 Cortelyou Road11218
(40.638650676337, -73.971777723777)",11218,40.638686,-73.971651,12,40,490,3126842,3053910001,Kensington-Ocean Parkway                                                   
"NDA Programs,Senior Programs,Older Adult Program",Seniors,BCA 6th Avenue Senior Center,Brooklyn,PS 3 RAUL JULIA MICRO SOCIETY (X003),(718) 438-0008,Seniors,"545 60th Street11220
(40.638917403202, -74.015166328364)",11220,40.638869,-74.015137,7,38,102,3337343,3008640001,Sunset Park East                                                           
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Goodhue Center,Staten Island,The Childrens Aid Society,(718) 447-2630,Elementary,"304 Prospect Avenue10301
(40.638947491449, -74.097642544884)",10301,40.638961,-74.097552,1,49,67,5113051,5001000030,New Brighton-Silver Lake                                                   
After-School Programs,Out of School Time,Yeshiva Kehilath Yakov - Boys,Brooklyn,Yeshiva Kehilath Yakov,(718) 972-2900,Elementary,"4706 10th Avenue11219
(40.640113313285, -73.997627589313)",11219,40.640015,-73.997694,12,38,114,3137077,3056250033,Borough Park                                                               
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Yeshiva Kehilath Yakov - Boys,Brooklyn,Yeshiva Kehilath Yakov,(718) 972-2900,OST,"4706 10th Avenue11219
(40.640113313285, -73.997627589313)",11219,40.640015,-73.997694,12,38,114,3137077,3056250033,Borough Park                                                               
After-School Programs,Beacon,IS 220,Brooklyn,Chinese American Planning Council,718.436.5270,6 and up,"4812 9th Avenue11220
(40.640835402677, -74.000456500483)",11220,40.640545,-74.000731,12,38,108,3012824,3007780023,Sunset Park East                                                           
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Chinese American Planning Council,Brooklyn,Chinese American Planning Council,(212) 941-0041 x 302,16+,"4812 9th Avenue11220
(40.640835402677, -74.000456500483)",11220,40.640545,-74.000731,12,38,108,3012824,3007780023,Sunset Park East                                                           
After-School Programs,Out of School Time,I.S. 220 JOHN J. PERSHING SCHOOL,Brooklyn,Chinese American Planning Council,(718) 436-5270,Middle School,"4812 9th Avenue11220
(40.640835402677, -74.000456500483)",11220,40.640545,-74.000731,12,38,108,3012824,3007780023,Sunset Park East                                                           
After-School Programs,Teen Action Program,JHS 220 John J Pershing,Brooklyn,Chinese American Planning Council,718.358.8899 ext.131,13 to 21,"4812 Ninth Avenue11220
(40.640835402677, -74.000456500483)",11220,40.640545,-74.000731,12,38,108,3012824,3007780023,Sunset Park East                                                           
"Family Support,NDA Programs",Healthy Families,Yeled V Yalda Community Center,Brooklyn,Office of Senator Kruger,(718) 686-3700,,"1312 38 Street11218
(40.640984296943, -73.985411572333)",11218,40.640868,-73.985194,12,39,226,3123349,3052990011,Borough Park                                                               
"NDA Programs,Senior Programs,Older Adult Program",Seniors,BCA Sunset Park Asian Senior Center,Brooklyn,MS 216,(718) 438-0008,Seniors,"5010 8th Avenue11220
(40.641053712241, -74.003818581755)",11220,40.640998,-74.003848,7,38,108,3013420,3007940042,Sunset Park East                                                           
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Brooklyn Chinese American Association,Brooklyn,Brooklyn Chinese American Association,718-438-0008,A parent 16 Years Old or Older,"5010 8th Avenue11220
(40.641053712241, -74.003818581755)",11220,40.640998,-74.003848,7,38,108,3013420,3007940042,Sunset Park East                                                           
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Brooklyn Chinese-American Association,Brooklyn,Brooklyn Chinese-American Association,(718) 438-0008,16+,"5006 8th Avenue11220
(40.641074069955, -74.003795118627)",11220,40.641014,-74.003834,7,38,108,3013419,3007940041,Sunset Park East                                                           
"Family Support,NDA Programs",Healthy Families,BCA Main Community Services Center,Brooklyn,Carol Gardens,(718) 438-0008,,"5000 8th Avenue11220
(40.641104606526, -74.003759923935)",11220,40.641036,-74.003809,7,38,108,3013418,3007940039,Sunset Park East                                                           
"Family Support,NDA Programs", Housing,BCA Main Community Services Center,Brooklyn,South Jamaica Houses,(718) 438-0008,Adults,"5000 8th Ave11220
(40.641104606526, -74.003759923935)",11220,40.641036,-74.003809,7,38,108,3013418,3007940039,Sunset Park East                                                           
After-School Programs,Out of School Time,Canarsie HS,Brooklyn,"Global Kids, Inc.",(212) 226-0130,High School,"1600 Rockaway Parkway11236
(40.640783891702, -73.897508603305)",11236,40.641474,-73.898254,18,46,990,3230949,3082220001,Canarsie                                                                   
After-School Programs,Teen Action Program,Canarsie High School,Brooklyn,"Hospital Audiences, Inc.",212.575.7670 ext.246,13 to 21,"1600 Rockaway Parkway11236
(40.640783891702, -73.897508603305)",11236,40.641474,-73.898254,18,46,990,3230949,3082220001,Canarsie                                                                   
After-School Programs,Out of School Time,P.S. 31 WILLIAM T. DAVIS SCHOOL,Staten Island,"Jewish Community Center of Staten Island, Inc.",(718) 273-4820,Elementary,"55 LAYTON AVENUE10301
(40.641582326676, -74.085356500747)",10301,40.641595,-74.085135,1,49,9,5001150,5000490182,West New Brighton-New Brighton-St. George                                  
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 31 WILLIAM T. DAVIS SCHOO,Staten Island,"Jewish Community Center of Staten Island, Inc.",(718) 273-4820,OST,"55 LAYTON AVENUE10301
(40.641582326676, -74.085356500747)",10301,40.641595,-74.085135,1,49,9,5001150,5000490182,West New Brighton-New Brighton-St. George                                  
After-School Programs,Out of School Time,Nazareth Regional HS,Brooklyn,"Police Athletic League, Inc.",(718) 763-1100,High School,"475 57th Street11203
(40.644282839183, -73.922765958045)",11220,40.64162,-74.015094,7,38,74,3015345,3008390045,Sunset Park West                                                           
After-School Programs,Out of School Time,P.S. 139 ALEXINE A. FENTY SCHOOL,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 469-4395,Elementary,"330 Rugby Road11226
(40.641701376043, -73.965507529319)",11226,40.641937,-73.965523,14,40,1522,3328235,3051440064,Flatbush                                                                   
After-School Programs,Out of School Time,P.S. 139 ALEXINE A. FENTY SCHOOL,Brooklyn,CAMBA  ,(718) 693-3825,Elementary,"330 Rugby Road11226
(40.641701376043, -73.965507529319)",11226,40.641937,-73.965523,14,40,1522,3328235,3051440064,Flatbush                                                                   
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Public School 314 - Luis Munoz Marin Elementary School,Brooklyn,SCO Family of Services,516.671.1253,High School,"330 59th Street11220
(40.642201614799, -74.019175801725)",11220,40.642121,-74.018997,7,38,74,3016258,3008620012,Sunset Park West                                                           
After-School Programs,Teen Action Program,New School @ PS 314,Brooklyn,SCO Family of Services,718.788.3500,13 to 21,"330 59th Street11220
(40.642201614799, -74.019175801725)",11220,40.642121,-74.018997,7,38,74,3016258,3008620012,Sunset Park West                                                           
After-School Programs,Beacon,PS 503/506,Brooklyn,SCO Family of Services,718.439.5986,6 and up,"330 59th Street11210
(40.627722263871, -73.946537919989)",11220,40.642121,-74.018997,7,38,74,3016258,3008620012,Sunset Park West                                                           
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Lutheran Family Health Centers Adult & Family Education,Brooklyn,Lutheran Family Health Centers Adult & Family Education,(718) 630-7150 x 4070,16+,"330 59th Street11220
(40.642201614799, -74.019175801725)",11220,40.642121,-74.018997,7,38,74,3016258,3008620012,Sunset Park West                                                           
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,P.S. 503/506,Brooklyn,Citizens Advice Bureau,(718) 788-3500,High School,"330 59th Street11220
(40.642201614799, -74.019175801725)",11220,40.642121,-74.018997,7,38,74,3016258,3008620012,Sunset Park West                                                           
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Turning Point HDFC (Main Office),Brooklyn,Fredrick Douglas Academy VI High School,(718) 360-8166,High School,"5013 7th Avenue11220
(40.642353653563, -74.005963807531)",11220,40.642307,-74.006043,7,38,108,3013388,3007940004,Sunset Park East                                                           
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Turning Point Education Center,Brooklyn,"Turning Point (aka Discipleship Outreach Ministries, Inc.)",(718) 360-8171,16+,"5013 7th Avenue11220
(40.642353653563, -74.005963807531)",11220,40.642307,-74.006043,7,38,108,3013388,3007940004,Sunset Park East                                                           
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Turning Point,Brooklyn,"Turning Point (aka Discipleship Outreach Ministries, Inc.)",(718) 360-8171,16+,"5224 6th Avenue11220
(40.642523308887, -74.009472865801)",11220,40.642482,-74.009477,7,38,100,3013968,3008080041,Sunset Park East                                                           
After-School Programs,Out of School Time,RALPH J MCKEE CAREER TECHNICAL,Staten Island,New York Center for Interpersonal Development,(718) 947-4122,High School,"290 St Mark's Place10301
(40.642821093729, -74.078774634014)",10301,40.642793,-74.07873,1,49,9,5000314,5000190004,West New Brighton-New Brighton-St. George                                  
Jobs & Internships,Young Adult Internship Program,"NYSARC, Inc. NYC Chapter",Staten Island,"NYSARC, Inc. NYC Chapter",718.246.1506,16 to 24,"120 Stuyvesant Place10301
(40.643095488653, -74.07704808233)",10301,40.642992,-74.076954,1,49,3,5000084,5000080060,West New Brighton-New Brighton-St. George                                  
"After-School Programs,Jobs & Internships,Youth Employment",Out-of-School Youth Employment (OSY),New York Center for Interpersonal Development ,Staten Island,New York Center for Interpersonal Development ,718.947.4051,16 to 21,"120 Stuyvesant Place10301
(40.643095488653, -74.07704808233)",10301,40.642992,-74.076954,1,49,3,5000084,5000080060,West New Brighton-New Brighton-St. George                                  
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Kensington Self-Help ,Brooklyn,New York Legal Assistance Group (NYLAG),212-613-5000,All Ages,"419 Church Ave11218
(40.64409707953, -73.976409726458)",11218,40.644278,-73.975947,12,39,496,3124649,3053370027,Kensington-Ocean Parkway                                                   
After-School Programs,Out of School Time,CURTIS HS,Staten Island,Northfield Community LDC,(718) 442-7351,High School,"105 Hamilton Avenue10301
(40.644759271948, -74.081189221855)",10301,40.644735,-74.081222,1,49,7,5106483,5000220001,West New Brighton-New Brighton-St. George                                  
Runaway & Homeless Youth,Crisis Shelter,The Turning Point,Brooklyn,The Turning Point,718.439.0077,,"5220 Fourth Avenue11220
(40.645290640072, -74.013956489484)",11220,40.645191,-74.013924,7,38,76,3013857,3008060046,Sunset Park West                                                           
"Family Support,NDA Programs",Healthy Families,"Brooklyn Housing & Family Services, Inc.",Brooklyn,St. Luke's,(718) 435-7585,,"415 Albemarle Road11218
(40.645480602026, -73.976688033036)",11218,40.64551,-73.976296,12,39,500,3124269,3053270041,Windsor Terrace                                                            
"Family Support,NDA Programs",Healthy Families,"Brooklyn Housing & Family Services, Inc.",Brooklyn,Filomena Gardens,(718) 435-7585,,"415 Albemarle Road11218
(40.645480602026, -73.976688033036)",11218,40.64551,-73.976296,12,39,500,3124269,3053270041,Windsor Terrace                                                            
"Family Support,NDA Programs", Housing,"Brooklyn Housing & Family Services, Inc.",Brooklyn,"Council of Jewish Orgainzations of Flatbush, Inc.",(718) 435-7585,Adults,"415 Albemarle Road11218
(40.645480602026, -73.976688033036)",11218,40.64551,-73.976296,12,39,500,3124269,3053270041,Windsor Terrace                                                            
"Family Support,NDA Programs", Housing,"Brooklyn Housing & Family Services, Inc.",Brooklyn,"Council of Jewish Orgainzations of Flatbush, Inc.",(718) 435-7585,Adults,"415 Albemarle Road11218
(40.645480602026, -73.976688033036)",11218,40.64551,-73.976296,12,39,500,3124269,3053270041,Windsor Terrace                                                            
After-School Programs,Teen Action Program,Be'er Hagolah Institutes,Brooklyn,Be'er Hagolah Institutes,718.642.6800 ext.101,13 to 21,"671 Louisiana Avenue11239
(40.645630097382, -73.883621856383)",11239,40.645638,-73.883643,5,42,105804,3339160,3044520080,Starrett City                                                              
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Be er Hagolah (Elementary),Brooklyn,Be'er Hagolah Institutes,(718) 642-6800,Elementary,"671 Louisiana Avenue11239
(40.645630097382, -73.883621856383)",11239,40.645638,-73.883643,5,42,105804,3339160,3044520080,Starrett City                                                              
After-School Programs,Out of School Time,Be'er Hagolah,Brooklyn,Be'er Hagolah Institutes,(718) 642-6800,High School,"671 Louisiana Avenue11239
(40.645630097382, -73.883621856383)",11239,40.645638,-73.883643,5,42,105804,3339160,3044520080,Starrett City                                                              
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,I S 364 GATEWAY (K364),Brooklyn,Make the Road New York,(347) 417-8180,Middle School,"1426 FREEPORT LOOP11239
(40.646450509168, -73.881527639175)",11239,40.645806,-73.881671,5,42,105804,3098295,3044520040,Starrett City                                                              
After-School Programs,Out of School Time,Italian American Civil,Brooklyn,Italian American Civil Rights League (Italian American Civil,(718) 642-2180,High School,"1460 Pennsylvania Avenue11239
(40.646077795287, -73.879950181902)",11239,40.646068,-73.879786,5,42,105804,3340241,3044520020,Starrett City                                                              
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Italian American Civil Rights League (Italian American Civil,Brooklyn,Italian American Civil Rights League (Italian American Civil,718.642.2857,High School,"1460 Pennsylvania Avenue11239
(40.646077795287, -73.879950181902)",11239,40.646068,-73.879786,5,42,105804,3340241,3044520020,Starrett City                                                              
"Family Support,NDA Programs",Healthy Families,St. Dominic School / Italian American Civil Rights League,Brooklyn,Italian American Civil Rights League ,(718) 642-2180,,"1460 Pennsylvania Avenue11239
(40.646077795287, -73.879950181902)",11239,40.646068,-73.879786,5,42,105804,3340241,3044520020,Starrett City                                                              
"Jobs & Internships,Youth Employment",Summer Youth Employment ,Italian American Civil Rights League,Brooklyn,Italian American Civil Rights League,718-642-2180 ,14 to 24,"1460 Pennsylvania Avenue11239
(40.646077795287, -73.879950181902)",11239,40.646068,-73.879786,5,42,105804,3340241,3044520020,Starrett City                                                              
