Address,BBL,BIN,BoroCD,Borough,CT2010,CouncilDistrict,Items_Accepted,Latitude,Longitude,NTAName,Nonprofit_Organization,Number,Operations_Type,Public_Email,Public_Phone,Street,Unit,Vendor_Name,Website,point,zipcode,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
88-01 Parsons Blvd,4097639936.0,4208941,412,Queens,44602,24,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.70668411254883,-73.80194854736328,Jamaica,false,88-01,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Parsons Blvd,,Helpsy,https://www.helpsy.co/,POINT (-73.801952 40.706685),11432,24340,41,3,24,61
4278 Arthur Kill Rd,5.07328e9,5103536,503,Staten Island,226,51,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.53779220581055,-74.23677825927734,Charleston-Richmond Valley-Tottenville,false,4278,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Arthur Kill Rd,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-74.23677800000002 40.537791),10309,10696,15,1,9,77
120 E 32 St,1008870080.0,1018469,105,Manhattan,72,2,"Clothing, Shoes, Accessories, Coats",40.74528121948242,-73.9814224243164,Murray Hill-Kips Bay,true,120,Nonprofit Organizations/Thrift Stores,gcnexec@gmail.com,212-883-0680,E 32 St,,Grand Central Neighborhood Social Service Corporation,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3443&BId=3415,POINT (-73.981419 40.745281),10016,12078,11,4,50,8
1672 Broadway,3015037440.0,3040472,316,Brooklyn,373,41,"Clothing, Shoes, Accessories",40.68406295776367,-73.91301727294922,Ocean Hill,false,1672,Publicly Accessible Donation Bins,�support@communityrecycling.biz,800-336-0141,Broadway,,Community Recycling LLC,https://www.communityrecycling.biz/,POINT (-73.913018 40.684064),11207,13516,55,2,17,46
650 Fountain Ave,3045260032.0,3098937,305,Brooklyn,1116,42,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.66450119018555,-73.87075805664063,East New York,false,650,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Fountain Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.870759 40.664501),11208,17215,45,2,25,47
2231 3 Ave,1017860032.0,1054603,111,Manhattan,194,8,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs, Other",40.80138397216797,-73.9371337890625,East Harlem North,true,2231,Nonprofit Organizations/Thrift Stores,info@goodwillnynj.org,718-728-5400,3 Ave,,Goodwill Industries of Greater New York & Northern New Jersey,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=10&BId=18,POINT (-73.93713 40.801384),10035,13093,7,4,35,16
195 Linden St,3033240064.0,3076116,304,Brooklyn,417,37,"Clothing, Shoes, Coats",40.695648193359375,-73.91765594482422,Bushwick South,true,195,Nonprofit Organizations/Thrift Stores,gboszeta@riseboro.org,718-455-1100,Linden St,,Hope Gardens Multi-Service Senior Center,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3752&BId=3744,POINT (-73.917657 40.695649),11221,18181,42,2,37,53
1003 Clarkson Ave,3046269952.0,3100476,317,Brooklyn,882,41,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.6584358215332,-73.92474365234375,Rugby-Remsen Village,false,1003,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Clarkson Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.924742 40.658436),11212,17614,61,2,17,40
951 Leggett Ave,2027080064.0,2005556,202,Bronx,85,17,"Clothing, Shoes",40.81543731689453,-73.90013122558594,Longwood,false,951,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Leggett Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.90013 40.815436),10455,10933,8,5,43,24
76 Westervelt Ave,5000509952.0,5001186,501,Staten Island,7,49,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.64574432373047,-74.08613586425781,West New Brighton-New Brighton-St. George,false,76,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Westervelt Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-74.086137 40.645745),10301,10369,4,1,13,74
2259 Ralph Ave,3.08352e9,3235547,318,Brooklyn,69601,46,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.6228141784668,-73.91707611083984,Georgetown-Marine Park-Bergen Beach-Mill Basin,false,2259,Publicly Accessible Donation Bins,info@recyclingtech.com,(888) 243-3273,Ralph Ave,,American Recycling Technologies Inc.,http://www.americanrecyclingtech.com/,POINT (-73.917079 40.622815),11234,13825,5,2,8,38
332 E 11th St,1.00452e9,1006445,103,Manhattan,40,2,Contact store for details,40.72960662841797,-73.9848403930664,East Village,false,332,Organizations/Thrift Stores,contact@bufex.com,(212) 260-9340,E 11th St,,Buffalo Exchange,https://www.buffaloexchange.com/locations/new-york-city/,POINT (-73.984839 40.729608),10003,11724,70,4,50,5
155-15 Aguilar Ave,4067930368.0,4146999,408,Queens,122702,24,"Clothing, Shoes, Coats, Towels",40.72858428955078,-73.81295776367188,Pomonok-Flushing Heights-Hillcrest,true,155-15,Publicly Accessible Donation Bins,N/A,866-931-0232,Aguilar Ave,,Carecycle Inc,carecyclecares.com/,POINT (-73.812958 40.728586),11367,14509,25,3,24,65
1580 Metropolitan Ave,2039437440.0,2096747,209,Bronx,21002,18,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.83917236328125,-73.85712432861328,Parkchester,false,1580,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Metropolitan Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.85712100000002 40.839174),10462,11271,58,5,31,26
3872 3 Ave,2029289984.0,2113141,203,Bronx,167,16,"Clothing, Shoes",40.83918380737305,-73.90001678466797,Claremont-Bathgate,false,3872,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,3 Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.90002 40.839182),10457,10935,34,5,42,25
156-05 Rockaway Blvd,4132669952.0,4284847,413,Queens,306,31,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.66661071777344,-73.77944946289063,Springfield Gardens South-Brookville,false,156-05,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Rockaway Blvd,,Helpsy,https://www.helpsy.co/,POINT (-73.779446 40.666609),11434,24669,63,3,47,63
609 Hegeman Ave,3043010048.0,3096602,305,Brooklyn,1128,42,"Clothing, Shoes",40.6611213684082,-73.88948822021484,East New York (Pennsylvania Ave),false,609,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Hegeman Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.88949 40.66112),11207,17214,45,2,25,47
114-05 Farmers Blvd,4110070016.0,4236214,412,Queens,526,27,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.69778060913086,-73.76199340820313,St. Albans,false,114-05,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Farmers Blvd,,Helpsy,https://www.helpsy.co/,POINT (-73.761993 40.697781),11412,15312,41,3,6,71
230 W 230 St,2057020032.0,2101764,208,Bronx,289,11,"Clothing, Shoes",40.87894058227539,-73.90953063964844,Spuyten Duyvil-Kingsbridge,false,230,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,W 230 St,,Usagain LLC,http://www.usagain.com/,POINT (-73.909531 40.878941),10463,11272,48,5,40,33
319 Kings Hwy,3066510080.0,3176862,311,Brooklyn,426,44,"Clothing, Shoes, Accessories",40.60516357421875,-73.97836303710938,Bensonhurst East,false,319,Publicly Accessible Donation Bins,�support@communityrecycling.biz,800-336-0141,Kings Hwy,,Community Recycling LLC,https://www.communityrecycling.biz/,POINT (-73.978366 40.605162),11223,18183,1,2,18,37
750 Lexington Ave,1013940032.0,1075639,108,Manhattan,11402,4,"They accept any kind of clothing, fabrics, household linens, footwear, accessories, and jewelry.",40.762691497802734,-73.96826171875,Upper East Side-Carnegie Hill,false,750,Retail Store Takeback Programs,N/A,(212) 754-1120,Lexington Ave,,Zara,https://www.zara.com/us/en/sustainability-collection-program-l1452.html,POINT (-73.96826419999996 40.76269030000004),10022,12419,23,4,51,11
4640 Furman Ave,2050850048.0,2071148,212,Bronx,434,11,"Clothing, Shoes, Coats",40.902462005615234,-73.84967041015625,Woodlawn-Wakefield,true,4640,Nonprofit Organizations/Thrift Stores,tabernacleofrestoration@gmail.com,718-231-5299,Furman Ave,,RCCG Tabernacle of Restoration,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=438&BId=438,POINT (-73.849667 40.902461),10470,11275,29,5,40,30
758 E 233 St,2048460032.0,2063716,212,Bronx,422,12,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.892494201660156,-73.85546112060547,Williamsbridge-Olinville,false,758,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,E 233 St,,Helpsy,https://www.helpsy.co/,POINT (-73.85546 40.892494),10466,11275,29,5,2,30
262-10 Hillside Ave,4087920128.0,4179951,413,Queens,157903,23,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.737571716308594,-73.7057876586914,Glen Oaks-Floral Park-New Hyde Park,false,262-10,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Hillside Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.705787 40.737573),11004,15785,63,3,16,63
2475 Boston Rd,2044310016.0,2051312,211,Bronx,330,15,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.86299133300781,-73.8662338256836,Bronxdale,false,2475,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Boston Rd,,Helpsy,https://www.helpsy.co/,POINT (-73.866234 40.86299),10467,11605,59,5,22,32
100 Burgher Ave,5032950272.0,5048517,502,Staten Island,9602,50,"Clothing, Shoes, Accessories",40.59364318847656,-74.09441375732422,Old Town-Dongan Hills-South Beach,false,100,Publicly Accessible Donation Bins,�support@communityrecycling.biz,800-336-0141,Burgher Ave,,Community Recycling LLC,https://www.communityrecycling.biz/,POINT (-74.094413 40.593643),10304,10691,30,1,14,76
209 Washington Park,3020890112.0,3322056,302,Brooklyn,183,35,"Clothing, Shoes, Linens, Accessories",40.68976593017578,-73.97293090820313,Fort Greene,true,209,Textile Recycling at Farmers' Markets,recycle@grownyc.org,212-788-7976,Washington Park,,Fort Greene Greenmarket: GrowNYC Clothing & Textile Recycling Collections,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=31&BId=68,POINT (-73.972934 40.689766),11205,17212,68,2,48,55
200 Baychester Ave,2051410048.0,2000000,210,Bronx,46201,12,UNIQLO Clothing,40.86402130126953,-73.82755279541016,Co-op City,false,200,Retail Store Takeback Programs,WeCare@MAIL.Uniqlo-usa.com,1-877-486-4760,Baychester Ave,214,UNIQLO,https://www.uniqlo.com/us/en/home/,POINT (-73.82755 40.86402),10475,12344,43,5,2,28
208 8 Ave,1007700096.0,1014059,104,Manhattan,87,3,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.74369430541992,-73.99920654296875,Hudson Yards-Chelsea-Flatiron-Union Square,true,208,Nonprofit Organizations/Thrift Stores,Donations@salvationarmyusa.org,800-728-7825,8 Ave,,The Salvation Army Of Greater New York,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=11&BId=43,POINT (-73.99921 40.743695),10011,12074,12,4,10,6
1764 University Ave,2028760064.0,2008837,205,Bronx,21502,14,"Clothing, Shoes",40.84926223754883,-73.91647338867188,University Heights-Morris Heights,false,1764,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,University Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.916477 40.849261),10453,10931,6,5,29,29
234 Wythe Ave,3023490048.0,3062361,301,Brooklyn,555,33,Contact store for details,40.71774673461914,-73.96275329589844,North Side-South Side,false,234,Retail Store Takeback Programs,help@jcrew.com,718-384-3027,Wythe Ave,,J. Crew,https://bluejeansgogreen.org/recycle-denim/,POINT (-73.962754 40.717748),11249,17613,36,2,38,57
3211B White Plains Rd,2045950080.0,2056232,212,Bronx,374,15,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.87184143066406,-73.86734771728516,Williamsbridge-Olinville,false,3211B,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,White Plains Rd,,Helpsy,https://www.helpsy.co/,POINT (-73.86735100000001 40.871842),10467,11605,29,5,22,30
2582 3 Ave,2023140096.0,2000702,201,Bronx,39,8,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.8115119934082,-73.92581176757813,Mott Haven-Port Morris,true,2582,Nonprofit Organizations/Thrift Stores,Donations@salvationarmyusa.org,800-728-7825,3 Ave,,The Salvation Army Of Greater New York,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=11&BId=27,POINT (-73.92581 40.811511),10454,10932,49,5,35,23
402 3 Ave,1008840064.0,1018223,106,Manhattan,72,2,"Clothing, Shoes, Coats, Accessories",40.74238586425781,-73.98082733154297,Murray Hill-Kips Bay,false,402,Organizations/Thrift Stores,Info@UBNYC.com,212-725-4721,3 Ave,,Unique Boutique Thrift Shop,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=782&BId=726,POINT (-73.980826 40.742386),10016,12078,71,4,50,7
142-32 Foch Blvd,0.0,0,412,Queens,182,28,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.67884063720703,-73.79841613769531,Baisley Park,false,142-32,Publicly Accessible Donation Bins,info@recyclingtech.com,(888) 243-3273,Foch Blvd,,American Recycling Technologies Inc.,http://www.americanrecyclingtech.com/,POINT (-73.798413 40.678839),11436,24671,41,3,46,71
106-38 150 St,4100890112.0,4215563,412,Queens,198,28,"Clothing, Shoes, Coats, Bedding And Linens, Accessories",40.69499969482422,-73.80126953125,South Jamaica,true,106-38,Nonprofit Organizations/Thrift Stores,support@restfullnightscorporation.com,718-291-4600,150 St,,Restfull Nights Corporation Inc.,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3458&BId=3435,POINT (-73.801271 40.694999),11435,24670,41,3,46,61
910 Richmond Rd,5.03168e9,5046374,502,Staten Island,50,50,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.60457229614258,-74.0923080444336,Grasmere-Arrochar-Ft. Wadsworth,false,910,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Richmond Rd,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-74.092306 40.604574),10304,10691,30,1,14,76
130 Crosby St,1005110016.0,1007944,102,Manhattan,43,1,"Clothing, Shoes, Coats, Accessories",40.724708557128906,-73.99639129638672,SoHo-TriBeCa-Civic Center-Little Italy,true,130,Nonprofit Organizations/Thrift Stores,info@housingworks.org,347-473-7400,Crosby St,,Housing Works,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=66&BId=120,POINT (-73.996391 40.724709),10012,12075,57,4,32,2
1115 Pennsylvania Ave,3044130048.0,3098070,305,Brooklyn,1104,42,"Clothing, Shoes, Accessories",40.65359115600586,-73.88646697998047,East New York,false,1115,Publicly Accessible Donation Bins,�support@communityrecycling.biz,800-336-0141,Pennsylvania Ave,,Community Recycling LLC,https://www.communityrecycling.biz/,POINT (-73.886464 40.653591),11207,17214,45,2,25,47
855 E 233 St,2.05e9,2068251,212,Bronx,430,12,"Clothing, Shoes",40.89200210571289,-73.85259246826172,Woodlawn-Wakefield,false,855,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,E 233 St,,Usagain LLC,http://www.usagain.com/,POINT (-73.852592 40.892002),10466,11275,29,5,2,30
425 W 47 St,1010570048.0,1026562,104,Manhattan,127,3,"Clothing, Shoes, Coats",40.762245178222656,-73.99121856689453,Clinton,true,425,Nonprofit Organizations/Thrift Stores,fhinfo@fountainhouse.org�,212-582-0340,W 47 St,,Fountain House Thrift Shop,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3551&BId=3535,POINT (-73.991221 40.762246),10036,13094,12,4,10,10
845 E 231 St,2.04856e9,2064179,212,Bronx,422,12,"Clothing, Shoes, Coats, Accessories, Beddings And Linens, Towels",40.89080810546875,-73.85350799560547,Williamsbridge-Olinville,true,845,Nonprofit Organizations/Thrift Stores,JSFOODPANTRY@GMAIL.COM,718-669-0217,E 231 St,,"J&S CARING FOOD PANTRY, INC",https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=804&BId=749,POINT (-73.853507 40.89081),10466,11275,29,5,2,30
3485 Neptune Ave,3069790208.0,3253907,313,Brooklyn,330,47,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.57741165161133,-74.00182342529297,Seagate-Coney Island,false,3485,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Neptune Ave,,Helpsy,https://www.helpsy.co/,POINT (-74.001826 40.57741),11224,18184,21,2,45,35
141 Hendrix St,3039340032.0,3087496,305,Brooklyn,1146,37,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.67889404296875,-73.8906478881836,Cypress Hills-City Line,false,141,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Hendrix St,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.890649 40.678895),11207,17214,45,2,37,47
115-50 Merrick Blvd,4123450112.0,4267370,412,Queens,280,27,"Clothing, Shoes",40.688507080078125,-73.77716064453125,St. Albans,false,115-50,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Merrick Blvd,,Usagain LLC,http://www.usagain.com/,POINT (-73.777157 40.688508),11434,24669,41,3,6,71
145-41 228 St,4134850048.0,4441693,413,Queens,680,31,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.660865783691406,-73.75205993652344,Springfield Gardens South-Brookville,false,145-41,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,228 St,,Helpsy,https://www.helpsy.co/,POINT (-73.752063 40.660866),11413,15313,63,3,47,63
141-50 Union Tkpe,4066340096.0,4143576,408,Queens,77905,24,"Clothing, Shoes, Coats, Other",40.71737289428711,-73.81759643554688,Kew Gardens Hills,false,141-50,Publicly Accessible Donation Bins,N/A,914-573-2266,Union Tkpe,,Standard Recycling Corp,N/A,POINT (-73.817595 40.71737400000001),11367,24670,25,3,24,65
9612 Seaview Ave,3083280128.0,3235258,318,Brooklyn,1028,46,"Clothing, Shoes",40.63336181640625,-73.88993835449219,Canarsie,false,9612,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Seaview Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.889937 40.633363),11236,13827,5,2,8,42
112-15 Beach Channel Dr,4161660416.0,4303766,414,Queens,938,32,"Clothing, Shoes, Coats",40.58198165893555,-73.83501434326172,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,false,112-15,Publicly Accessible Donation Bins,N/A,631-225-5246,Beach Channel Dr,,H&M Leasing Corp,https://www.handmleasing.org/,POINT (-73.835014 40.58198),11694,20532,51,3,41,58
211-60 Hillside Ave,4105880064.0,4225962,413,Queens,548,23,"Clothing, Shoes",40.72443389892578,-73.7541275024414,Queens Village,false,211-60,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Hillside Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.754131 40.72443400000001),11427,24336,63,3,16,63
1745 Forest Ave,5014770176.0,5029213,501,Staten Island,239,49,"Clothing, Shoes",40.62522506713867,-74.14700317382813,Mariner's Harbor-Arlington-Port Ivory-Graniteville,false,1745,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Forest Ave,,Usagain LLC,http://www.usagain.com/,POINT (-74.147003 40.625225),10303,10371,4,1,13,75
225-01 Merrick Blvd,4129640192.0,4000000,413,Queens,630,31,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.677547454833984,-73.74451446533203,Laurelton,false,225-01,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Merrick Blvd,,Helpsy,https://www.helpsy.co/,POINT (-73.744518 40.677548),11413,15313,63,3,47,63
2981 Ocean Ave,3074410240.0,3204417,315,Brooklyn,600,48,"Clothing, Shoes, Coats, Towels",40.58832931518555,-73.94892883300781,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,true,2981,Publicly Accessible Donation Bins,N/A,866-931-0232,Ocean Ave,,Carecycle Inc,carecyclecares.com/,POINT (-73.94893200000001 40.588328),11235,13826,32,2,15,36
870 10 Ave,0.0,0,104,Manhattan,139,3,"Clothing, Shoes, Linens, Accessories",40.76900100708008,-73.98838806152344,Clinton,true,870,Textile Recycling at Farmers' Markets,info@grownyc.org,212-788-7476,10 Ave,,57th StGreenmarket:GrowNYC Clothing & Textile Reycling Collection,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=60&BId=105,POINT (-73.988386 40.769),10019,12081,12,4,10,10
333 Seneca Ave,4034230016.0,4081692,405,Queens,539,34,"Clothing, Shoes, Coats",40.7076530456543,-73.91542053222656,Ridgewood,false,333,Publicly Accessible Donation Bins,N/A,631-225-5246,Seneca Ave,,H&M Leasing Corp,https://www.handmleasing.org/,POINT (-73.915418 40.707652),11385,15310,54,3,30,62
1090 Bay St,5028449792.0,5042587,501,Staten Island,8,49,"Clothing, Shoes, Accessories",40.616241455078125,-74.06803894042969,Stapleton-Rosebank,true,1090,Nonprofit Organizations/Thrift Stores,N/A,(718) 447-2140,Bay St,,Bay Street Thrift,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=243&BId=292,POINT (-74.068038 40.616243),10305,10692,4,1,13,74
5 FINGERBOARD RD,5028640256.0,5043104,501,Staten Island,8,49,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.6093864440918,-74.0630111694336,Stapleton-Rosebank,false,5,Publicly Accessible Donation Bins,info@usagain.com,(718) 682-1421,FINGERBOARD RD,,USAGAIN LLC,http://www.usagain.com/,POINT (-74.06300969999995 40.609385),10305,10692,4,1,13,74
529 Utica Ave,3046040064.0,3397055,317,Brooklyn,878,41,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.660484313964844,-73.93070983886719,Prospect Lefferts Gardens-Wingate,false,529,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Utica Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.930708 40.660483),11203,16866,61,2,17,40
127 N 6 St,3023269888.0,3329955,301,Brooklyn,553,33,Contact store for details,40.71804428100586,-73.95901489257813,North Side-South Side,false,127,Retail Store Takeback Programs,contactus@madewell.com,718-599-0658,N 6 St,,Madewell,https://www.madewell.com/inspo-do-well-denim-recycling-landing.html,POINT (-73.959012 40.718046),11249,17613,36,2,38,57
685 Kosciuszko St,3032410112.0,3073752,304,Brooklyn,393,34,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.694602966308594,-73.9276123046875,Bushwick South,false,685,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Kosciuszko St,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.927611 40.694604),11221,18181,42,2,30,53
2008 Webster Ave,2030280064.0,2011101,206,Bronx,379,15,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.85028839111328,-73.89900970458984,Mount Hope,false,2008,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Webster Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.899009 40.850287),10457,10935,35,5,22,31
1982 Utica Ave,3078470144.0,3218569,318,Brooklyn,672,46,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.623291015625,-73.92769622802734,Flatlands,false,1982,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Utica Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.92769800000002 40.62329),11234,13825,5,2,8,38
5414 Church Ave,3047020032.0,3103014,317,Brooklyn,938,41,"Clothing, Shoes",40.65217208862305,-73.92587280273438,Rugby-Remsen Village,false,5414,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Church Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.925869 40.652173000000005),11203,16866,61,2,17,40
351 E 74 St,1014490048.0,1044930,108,Manhattan,134,5,"Clothing, Shoes, Coats",40.7695198059082,-73.95549774169922,Lenox Hill-Roosevelt Island,true,351,Nonprofit Organizations/Thrift Stores,church@janhus.org,212-288-6743,E 74 St,,Urban Outreach Center at Jan Hus Presbyterian Church,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=253&BId=300,POINT (-73.955499 40.769518),10021,12083,23,4,1,11
917 Brooklyn Ave,3048730112.0,3108777,317,Brooklyn,816,41,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.65142059326172,-73.9437026977539,East Flatbush-Farragut,false,917,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Brooklyn Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.943705 40.651422),11203,16866,61,2,17,40
1674 3 Ave,1015220032.0,1048399,108,Manhattan,15801,5,"Clothing, Shoes, Coats, Accessories",40.78385925292969,-73.95069885253906,Upper East Side-Carnegie Hill,false,1674,Organizations/Thrift Stores,Info@UBNYC.com,212-427-0077,3 Ave,,Unique Boutique,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=779&BId=723,POINT (-73.9507 40.783861),10128,10099,23,4,1,11
6571 Broadway,2058721024.0,2085331,208,Bronx,343,11,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.90773010253906,-73.89693450927734,North Riverdale-Fieldston-Riverdale,false,6571,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Broadway,,Helpsy,https://www.helpsy.co/,POINT (-73.896931 40.907731),10471,11609,48,5,40,33
122-11 Hillside Ave,4092679936.0,4193532,409,Queens,140,29,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.702369689941406,-73.82852172851563,Kew Gardens,false,122-11,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Hillside Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.82852 40.702369),11418,24011,46,3,28,60
94-03 Corona Ave,4016039936.0,4040134,404,Queens,461,25,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.74250411987305,-73.8697509765625,Elmhurst,false,94-03,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Corona Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.869753 40.742504000000004),11373,14784,66,3,5,68
2727 Cropsey Ave,3069139968.0,3187258,313,Brooklyn,314,47,"Clothing, Shoes, Accessories, Bedding and linens, Towels , Coats",40.587913513183594,-73.9892349243164,Gravesend,false,2727,Publicly Accessible Donation Bins,N/A,N/A,Cropsey Ave,,S L Advantage,N/A,POINT (-73.989236 40.587914),11214,17616,21,2,45,35
610 Broadway,1005220032.0,1008209,102,Manhattan,5502,1,"Clothing & shoes. All brands in clean, dry condition accepted. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/",40.725563049316406,-73.9963150024414,West Village,false,610,Retail Store Takeback Programs,N/A,(212) 529-0081,Broadway,,Adidas,https://www.adidas-group.com/en/sustainability/products/end-of-life/,POINT (-73.99631729999999 40.72556300000001),10012,12075,57,4,32,5
